Abyss,Samsung,1234
Ackbar,Apple,1365
Addax,HP,645
Adrastea,Toshiba,1068
Aeon,Dell,352
Agent Smith,Alienware,1265
Albus,Apple,1300
Alchemist,Alienware,1312
Allegro,IBM,603
All Spark,Lenovo,997
Alpha,IBM,800
Altiar,Lenovo,701
Amalthea,IBM,603
Amber,Asus,823
Amethyst,Gateway,888
Ananke,Acer,585
Angstrom,Dell,384
Animus,IBM,783
Aperture,IBM,474
Aphelion,Lenovo,992
Apoc,Acer,737
Apollo,HP,557
Aragorn,IBM,463
Aramis,HP,441
Arcadia,Samsung,1095
Archangel,Dell,224
Archer,Acer,387
Ares,Samsung,954
Aristotle,HP,606
Aristoxenus,Toshiba,1081
Artemis,Toshiba,836
Arthas,Apple,1285
Arwen,Acer,654
Asterias,Samsung,990
Asterion,Samsung,1249
Asterix,Alienware,1267
Astro,Toshiba,1094
Asymptotic,Dell,448
Athena,Samsung,1149
Athos,HP,789
Atlas,IBM,790
Atom,Apple,1498
Atreyu,Lenovo,1063
Augustus,Acer,679
Aurora,Samsung,999
Aurum,Alienware,1140
Axiom,IBM,521
Azrael,Acer,451
B-9,Lenovo,847
Babylon,Dell,326
Balthasar,Lenovo,906
Bane,Toshiba,794
Bantock,Toshiba,659
Barasingha,Alienware,1355
Barracuda,Gateway,914
Barricade,Apple,1484
Basilisk,Lenovo,791
Beaker,Samsung,925
Beast,HP,724
Bebop,Samsung,964
Beeblebrox,Toshiba,989
Beliskner,Lenovo,1188
Bender,HP,672
Beta,Toshiba,664
Bilbo,Lenovo,919
Bitcrusher,Samsung,1077
Bizarro,Asus,869
Blackbird,Acer,373
Blackout,Asus,581
Blacksun,Acer,326
Blade,Apple,1309
Blaze,Samsung,1002
Blesbok,IBM,487
Boba Fett,Alienware,1062
Bones,Gateway,1048
Bonosus,Samsung,1052
Boolean,HP,505
Booya,Toshiba,1012
Bork,Alienware,1404
Borked,Dell,311
Boromir,IBM,897
Box,HP,777
Brick,Dell,544
Bumblebee,Alienware,1074
Buzz,Dell,367
C-3PO,Gateway,727
Caedus,Gateway,1089
Caesar,Samsung,971
Caldera,Toshiba,875
Caliban,Gateway,736
Caligula,IBM,741
Callisto,Apple,1046
Calypso,Alienware,1209
Canary,Samsung,925
Caramel,Asus,774
Carme,Alienware,1305
Carmine,Acer,314
Casper,Gateway,955
Catalyst,IBM,768
Centaur,Acer,534
Central,Apple,1066
Cerebral,Asus,803
Cerebro,Toshiba,624
Cerebros,Lenovo,1164
Cerebrum,HP,761
Ceres,IBM,409
Ceridwen,Lenovo,1101
Chaos,Dell,233
Chaucer,Acer,485
Cheeseburger,Lenovo,1199
Cheetal,Acer,795
Chewbacca,IBM,854
Chewy,Acer,352
Choi,Apple,1083
Citadel,Asus,674
Claudius,Apple,1385
Codex,Lenovo,1043
Cog,Asus,538
Colossus,IBM,677
Comatose,IBM,655
Complicado,IBM,464
Computron,Dell,238
Constellation,Gateway,847
Cortana,Lenovo,761
Coruscant,Asus,821
Cosmo,Lenovo,1059
Cosmos,Toshiba,742
Crane,Alienware,1445
Cranium,Acer,321
Credos,Acer,580
Cresent,Acer,795
Crypto,Samsung,1239
Cthulhu,Acer,382
Cupcake,Dell,534
Cybertron,Dell,580
Cylon,Gateway,608
Cypher,Acer,574
Daedalus,Dell,383
Daemon,Dell,598
Dante,Lenovo,1038
Darkwing,Samsung,883
Darwin,HP,479
Dauntless,Apple,1310
Da Vinci,Apple,1210
Davros,Apple,1079
Debug,Dell,241
Deep Blue,IBM,749
Deep Thought,Gateway,609
#define,Toshiba,610
Deimos,Samsung,995
Dellicious,HP,730
Delorean,Samsung,1144
Deus,Alienware,1413
Domitian,Asus,799
Donatello,Gateway,800
Doppler,IBM,628
Droid,Lenovo,933
Duckburg,Alienware,1080
Duiker,Toshiba,808
Duo,IBM,680
Echelon,Apple,1071
Echo,Dell,428
Eclipse,Alienware,1208
Eden,Dell,478
Einstein,Apple,1116
Eland,HP,899
Elara,Lenovo,780
Elixir,Toshiba,798
Elrond,Gateway,974
Elwing,Gateway,900
Encephalon,HP,518
Enchilada,Toshiba,752
Eniac,Toshiba,921
Enigma,Acer,445
Entropy,Samsung,851
Eowyn,Gateway,994
Epic,IBM,491
Epoch,IBM,827
Equinox,IBM,674
Eris,Asus,677
Eugenius,Acer,592
Euphoria,Gateway,778
Europa,Lenovo,1184
Eva,Acer,767
Eve,Toshiba,687
Evelina,HP,570
Evora,Alienware,1229
Ewok,Toshiba,875
Excalibur,Asus,978
Excelsior,Toshiba,696
Exeter,Acer,759
Ezio,Lenovo,811
Ezra,Lenovo,916
Falco,Dell,660
Falcon,IBM,668
Falkor,Toshiba,950
Faraday,IBM,801
Fawn,Toshiba,678
Felix,Asus,541
Fenix,Dell,489
Fermi,Lenovo,1182
Fesarius,Acer,735
Fireball,IBM,586
Firefly,Apple,1366
Firestar,Samsung,988
Fizz,HP,829
Flare,Toshiba,888
Flash,Lenovo,777
Flux,Acer,757
Flyte,Acer,467
Flywheel,Alienware,1175
Foobar,Alienware,1249
Forge,Samsung,1145
Fractal,IBM,505
Frankenstein,Dell,395
Freon,Acer,668
